Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
901,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""""","=""""",5,4.30,Starscape,Paperback,324,2002,1985,,2012/07/06,"enders-game, favorites, read-before-goodreads, science-fiction, own, stand-alone, author-male","enders-game (#7), favorites (#6), read-before-goodreads (#103), science-fiction (#33), own (#61), stand-alone (#3), author-male (#87)",read,"I decided to re-read this after reading Ender's Shadow to fill in some details I had forgotten. I enjoyed this more the second time.<br/><br/>I wish I had read this book as a child instead of finding it as an adult. This book extends beyond science fiction into a story about the struggles one can face while growing up. If you haven't read this one yet, you should.",,,1,,,0,,,,,
22444053,"The Boys, Vol. 7: The Innocents",Garth Ennis,"Ennis, Garth","Darick Robertson, Russ Braun","=""""","=""""",4,4.12,Dynamite Entertainment,Kindle Edition,184,2010,2010,,2019/07/24,"audio-book, fantasy, graphic-novels-and-manga, own, own-backlog, 20xx-sw-comics, read-2019, author-male","audio-book (#443), fantasy (#620), graphic-novels-and-manga (#138), own (#743), own-backlog (#260), 20xx-sw-comics (#16), read-2019 (#71), author-male (#1023)",read,,,,1,,,0,,,,,
29739178,Critical Failures,Robert Bevan,"Bevan, Robert",Jonathan Sleep,"=""""","=""""",2,3.78,,Audible Audio,8,2014,2012,2019/12/28,2015/03/28,"fantasy, humor, own, audio-book, own-backlog, 20xx-sword, read-2019, author-male","fantasy (#330), humor (#23), own (#663), audio-book (#379), own-backlog (#80), 20xx-sword (#83), read-2019 (#73), author-male (#1022)",read,1.5,,,1,,,0,,,,,
49195627,"City of Stone and Silence (Wells of Sorcery, #2)",Django Wexler,"Wexler, Django","Catherine Ho, Nancy Wu","=""""","=""""",0,4.36,Recorded Books,Audible Audio,14,2020,2020,,2020/01/07,"20xx-sword, audio-book, author-male, fantasy, read-2020, currently-reading","20xx-sword (#84), audio-book (#460), author-male (#1020), fantasy (#652), read-2020 (#3), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
47364237,The Bird King,G. Willow Wilson,"Wilson, G. Willow",,"=""0802148298""","=""9780802148292""",0,3.77,Grove Press,Paperback,416,2020,2019,,2020/01/11,to-read,to-read (#473),to-read,,,,0,,,0,,,,,
25066765,"Star Wars: Kanan, Vol. 1: The Last Padawan (Star Wars: Kanan, #1)",Greg Weisman,"Weisman, Greg","Pepe Larraz, Mark  Brooks, Jacopo Camagni, David Curiel, Joe Caramagna","=""0785193669""","=""9780785193661""",0,4.10,Marvel Comics,Paperback,144,2015,2015,,2019/12/31,"to-read, author-male, graphic-novels-and-manga, star-wars, science-fiction, 20xx-sw-comics","to-read (#2), author-male (#1012), graphic-novels-and-manga (#146), star-wars (#18), science-fiction (#294), 20xx-sw-comics (#18)",to-read,,,,0,,,0,,,,,
27415713,"Star Wars: Kanan, Vol. 2: First Blood",Greg Weisman,"Weisman, Greg","Pepe Larraz, Andrea Broccardo, David Curiel, Joe Caramagna","=""078519603X""","=""9780785196037""",0,3.89,Marvel Comics,Paperback,144,2016,2016,,2020/01/10,"to-read, next-in-series, science-fiction, graphic-novels-and-manga, star-wars","to-read (#5), next-in-series (#64), science-fiction (#299), graphic-novels-and-manga (#150), star-wars (#19)",to-read,,,,0,,,0,,,,,
42393392,"Shorefall (Founders, #2)",Robert Jackson Bennett,"Bennett, Robert Jackson",,"=""1786487896""","=""9781786487896""",0,4.37,Jo Fletcher Books,Paperback,400,2020,2020,,2020/01/09,"to-read, author-male, fantasy, next-in-series","to-read (#472), author-male (#1021), fantasy (#653), next-in-series (#63)",to-read,,,,0,,,0,,,,,
50347401,Pile of Bones (The Legends of the First Empire #0.5),Michael J. Sullivan,"Sullivan, Michael J.",Tim Gerard Reynolds,"=""""","=""""",0,4.18,Audible Studios,Audiobook,1,2020,2019,,2020/01/07,"to-read, author-male, audio-book, fantasy","to-read (#3), author-male (#1019), audio-book (#459), fantasy (#651)",to-read,,,,0,,,0,,,,,
9938498,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"Larson, Erik",,"=""0307408841""","=""9780307408846""",0,3.84,Crown,Hardcover,448,2011,2011,,2020/01/07,"to-read, author-male, nonfiction","to-read (#471), author-male (#1018), nonfiction (#79)",to-read,,,,0,,,0,,,,,
6501998,Grace Hopper and the Invention of the Information Age,Kurt W. Beyer,"Beyer, Kurt W.",,"=""026201310X""","=""9780262013109""",0,3.83,The MIT Press,Hardcover,408,2009,2009,,2020/01/07,"to-read, author-male, computers, nonfiction","to-read (#470), author-male (#1017), computers (#40), nonfiction (#78)",to-read,,,,0,,,0,,,,,
38311524,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",Jason Fagone,"Fagone, Jason",Cassandra Campbell,"=""""","=""""",4,4.14,HarperAudio,Audible Audio,14,2017,2017,2020/01/07,2017/12/30,"author-male, nonfiction, own, own-backlog, audio-book, read-2020","author-male (#829), nonfiction (#55), own (#686), own-backlog (#127), audio-book (#428), read-2020 (#2)",read,,,,1,,,0,,,,,
50151926,"A Little Hatred (The Age of Madness, #1)",Joe Abercrombie,"Abercrombie, Joe",Steven Pacey,"=""""","=""""",4,4.51,Orion Publishing Group Limited,Audible Audio,20,2019,2019,2019/10/07,2019/07/25,"author-male, fantasy, audio-book, own, 20xx-sword, read-2019","author-male (#992), fantasy (#626), audio-book (#448), own (#754), 20xx-sword (#75), read-2019 (#74)",read,"<b>Executive Summary:</b> A little slow at times, but by the end I was hooked and eagerly awaiting the next book to come out.<br/><br/><b>Audiobook:</b> Steven Pacey does his usual excellent job. I think he's narrated most of the First Law books, and he really make them a must listen for me. He does a variety of voices and has good pacing and inflection.<br/><br/><b><u>Full Review</u></b><br/>I've enjoyed most of the First Law books, but since reading [b:Red Country|13521459|Red Country (First Law World, #6)|Joe Abercrombie|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333663008l/13521459._SY75_.jpg|19082135] 4 years ago, I have mostly rolled off of darker fantasy. I didn't find this one quite as dark as some of the previous entries, but it's not exactly sunshine and rainbows either.<br/><br/>My favorite book of the series to this point was [b:The Heroes|9300768|The Heroes (First Law World, #5)|Joe Abercrombie|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375671200l/9300768._SY75_.jpg|12879765], and that hasn't changed. However I probably like this about as much as the original trilogy, and more than [b:Best Served Cold|2315892|Best Served Cold|Joe Abercrombie|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347732723l/2315892._SY75_.jpg|2322406]. I'm not sure but I probably like [b:Red Country|13521459|Red Country (First Law World, #6)|Joe Abercrombie|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333663008l/13521459._SY75_.jpg|19082135] better as well. So what that boils down to is this book is somewhere in the middle of the pack for me. I never liked the original trilogy quite as much as some of my friends seemed to.<br/><br/>My biggest issue with this book was just how long it's been since I've read most of those books, especially the original trilogy. This book could really have done with some recap. I guess it doesn't have one since you could probably read this book without having read any of the previous books, but I'm not sure why you'd really want to.<br/><br/>I'm still not quite sure why but Glotka remains one of my favorite characters. He's a terrible person, but he's almost always the smartest one in the room, so I enjoy him outsmarting others I guess. It was good to see him again, even if he's only a minor character and the focus is on his daughter Savine and others of her generation. <br/><br/>She's not the only new character from the original books that is the offspring on a notable character. However most of them come as a bit of a surprise, so I'll just leave them for you to discover if you decide to read this. I thought most of the new characters were interesting in their own rights, and not remarkable for simply being someone's child. <br/><br/>In addition to aging up most of the characters you know to have adult children, technology has advanced too. This setting has a very much industrial revolution feel, with all the benefits and issues that came along with it.<br/><br/>Once I got back into the swing of things I found myself swept up in the story and all the new characters. I still don't have much of an interest in reading darker fantasy, but I do have an interest in seeing how the rest of this series turns out. I'll definitely be picking up the next one when it comes out.",,,1,,,1,2019/09/10,Audible,Like new,,
43435261,2019 on Goodreads,Various,"Various, Various",,"=""""","=""""",0,4.20,,,,2019,2019,,2020/01/06,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
47902767,The Relentless Moon (Lady Astronaut #3),Mary Robinette Kowal,"Kowal, Mary Robinette",,"=""1250236967""","=""9781250236968""",0,4.36,Tor Books,Paperback,448,2020,2020,,2020/01/02,"to-read, author-female, audio-book, next-in-series, science-fiction","to-read (#469), author-female (#234), audio-book (#458), next-in-series (#62), science-fiction (#298)",to-read,,,,0,,,0,,,,,
42074525,The City We Became,N.K. Jemisin,"Jemisin, N.K.",,"=""0356512665""","=""9780356512662""",0,4.04,Orbit,Hardcover,320,2020,2020,,2020/01/02,"to-read, author-female, fantasy","to-read (#11), author-female (#233), fantasy (#650)",to-read,,,,0,,,0,,,,,
34306908,"Orconomics (The Dark Profit Saga, #1)",J. Zachary Pike,"Pike, J. Zachary","Doug Tisdale, Jr.","=""""","=""""",0,4.35,Gnomish Press LLC,Audible Audio,12,2016,2014,,2019/11/25,"to-read, author-male, audio-book, fantasy, own, own-and-unread, own-backlog, humor","to-read (#12), author-male (#1007), audio-book (#454), fantasy (#645), own (#769), own-and-unread (#166), own-backlog (#274), humor (#48)",to-read,,,,0,,,0,,,,,
40909003,Salvation,Peter F. Hamilton,"Hamilton, Peter F.",John Lee,"=""""","=""""",0,4.20,Tantor Audio,Audible Audio,21,2018,2018,,2020/01/01,"to-read, audio-book, author-male, own, own-and-unread, own-backlog, science-fiction","to-read (#468), audio-book (#457), author-male (#1016), own (#768), own-and-unread (#165), own-backlog (#273), science-fiction (#297)",to-read,,,,0,,,0,,,,,
40629275,Paper Girls: Book Two,Brian K. Vaughan,"Vaughan, Brian K.","Cliff Chiang, Matt Wilson","=""1534310614""","=""9781534310612""",0,4.43,Image Comics,Hardcover,320,2019,2019,,2019/12/31,"graphic-novels-and-manga, author-male, own, science-fiction","graphic-novels-and-manga (#149), author-male (#1015), own (#767), science-fiction (#296)",read,,,,1,,,1,2019/03/23,Amazon,Like new,,
40597954,Rat Queens Deluxe Edition Volume 2,Kurtis J. Wiebe,"Wiebe, Kurtis J.",Owen Gieni,"=""1534310258""","=""9781534310254""",4,3.55,Image Comics,Hardcover,296,2018,,,2019/12/31,"author-male, graphic-novels-and-manga, own, fantasy","author-male (#1014), graphic-novels-and-manga (#148), own (#766), fantasy (#649)",read,"Rat Queens is awesome, so I bought this Deluxe Edition.<br/><br/>I originally reviewed these issues with each trade paper. Those reviews are linked below if you're so inclined.<br/><br/>[b:Rat Queens, Vol. 3: Demons|28762820|Demons (Rat Queens, #3)|Kurtis J. Wiebe|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489503059l/28762820._SY75_.jpg|48893668] - (<a href=""https://www.goodreads.com/review/show/1555685280"">My Review</a>)<br/>[b:Rat Queens, Vol. 4: High Fantasies|35631919|High Fantasies (Rat Queens, #4)|Kurtis J. Wiebe|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499647551l/35631919._SX50_.jpg|57083568] - (<a href=""https://www.goodreads.com/review/show/2175250250"">My Review</a>)",,,2,,,1,2018/11/22,Amazon,Like new,,
44426058,"Paper Girls, Vol. 6",Brian K. Vaughan,"Vaughan, Brian K.","Cliff Chiang, Matt Wilson","=""1534313249""","=""9781534313248""",0,4.20,Image Comics,Paperback,144,2019,2019,,2019/12/31,"to-read, author-male, graphic-novels-and-manga, next-in-series, science-fiction","to-read (#9), author-male (#1013), graphic-novels-and-manga (#147), next-in-series (#61), science-fiction (#295)",to-read,,,,0,,,0,,,,,
22444529,"The Boys, Vol. 8: Highland Laddie",Garth Ennis,"Ennis, Garth","McCrea John, Keith Burns","=""""","=""""",3,3.79,Dynamite Entertainment,Kindle Edition,144,2011,2011,2019/12/29,2019/07/24,"author-male, fantasy, graphic-novels-and-manga, own, own-and-unread, own-backlog, 20xx-sw-comics, read-2019","author-male (#987), fantasy (#621), graphic-novels-and-manga (#139), own (#744), own-and-unread (#156), own-backlog (#261), 20xx-sw-comics (#17), read-2019 (#72)",read,,,,1,,,0,,,,,
22443265,"The Boys, Vol. 5: Herogasm",Garth Ennis,"Ennis, Garth",Darick Robertson,"=""""","=""""",4,3.90,Dynamite Entertainment,Kindle Edition,144,2009,2009,,2019/07/24,"author-male, fantasy, graphic-novels-and-manga, own, own-backlog, 20xx-sw-comics, read-2019","author-male (#985), fantasy (#618), graphic-novels-and-manga (#136), own (#741), own-backlog (#258), 20xx-sw-comics (#14), read-2019 (#69)",read,,,,1,,,0,,,,,
22443672,"The Boys, Vol. 6: The Self-Preservation Society",Garth Ennis,"Ennis, Garth","Carlos Ezquerra, Darick Robertson","=""""","=""""",4,4.12,Dynamite Entertainment,Kindle Edition,200,2010,2010,2019/12/27,2019/07/24,"author-male, fantasy, graphic-novels-and-manga, own, own-backlog, 20xx-sw-comics, read-2019","author-male (#986), fantasy (#619), graphic-novels-and-manga (#137), own (#742), own-backlog (#259), 20xx-sw-comics (#15), read-2019 (#70)",read,,,,1,,,0,,,,,
6203292,"The Boys, Volume 4: We Gotta Go Now",Garth Ennis,"Ennis, Garth",Darick Robertson,"=""1606900358""","=""9781606900352""",4,4.06,Dynamite Entertainment,Paperback,184,2009,2009,2019/12/25,2019/07/24,"author-male, fantasy, graphic-novels-and-manga, own, own-backlog, 20xx-sw-comics, read-2019","author-male (#984), fantasy (#617), graphic-novels-and-manga (#135), own (#740), own-backlog (#257), 20xx-sw-comics (#13), read-2019 (#68)",read,,,,1,,,0,,,,,
21235204,"The Boys, Vol. 3: Good for the Soul",Garth Ennis,"Ennis, Garth",Darick Robertson,"=""""","=""""",4,4.10,Dynamite,Kindle Edition,206,2008,2008,2019/12/22,2019/07/24,"author-male, fantasy, own, own-backlog, 20xx-sw-comics, read-2019","author-male (#983), fantasy (#616), own (#739), own-backlog (#256), 20xx-sw-comics (#12), read-2019 (#67)",read,,,,1,,,0,,,,,
46180547,Magic for Liars,Sarah Gailey,"Gailey, Sarah",Xe Sands,"=""""","=""""",4,3.67,Tor,Audiobook,9,,2019,2019/12/22,2019/12/13,"audio-book, author-female, fantasy, own, read-2019, 20xx-sword","audio-book (#456), author-female (#231), fantasy (#648), own (#764), read-2019 (#66), 20xx-sword (#82)",read,,,,1,,,1,2019/12/13,Audible,Like new,,
19076485,"The Boys, Vol. 2: Get Some",Garth Ennis,"Ennis, Garth",Darick Robertson,"=""""","=""""",3,3.99,Dynamite,Kindle Edition,205,2008,2008,2019/12/08,2019/07/24,"author-male, fantasy, graphic-novels-and-manga, own, own-backlog, 20xx-sw-comics, read-2019","author-male (#982), fantasy (#615), graphic-novels-and-manga (#134), own (#738), own-backlog (#255), 20xx-sw-comics (#11), read-2019 (#64)",read,,,,1,,,0,,,,,
18902310,"The Boys, Vol. 1: The Name of the Game",Garth Ennis,"Ennis, Garth",Darick Robertson,"=""""","=""""",3,3.99,Dynamite,Kindle Edition,146,2007,2007,2019/12/01,2019/07/24,"author-male, fantasy, graphic-novels-and-manga, own, own-backlog, read-2019, 20xx-sw-comics","author-male (#981), fantasy (#614), graphic-novels-and-manga (#133), own (#737), own-backlog (#254), read-2019 (#62), 20xx-sw-comics (#10)",read,,,,1,,,0,,,,,
49632958,"Attack on Titan, Vol. 29",Hajime Isayama,"Isayama, Hajime",,"=""1632368285""","=""9781632368287""",3,4.43,Kodansha Comics,Paperback,192,2019,2019,2019/07/22,2019/03/24,"author-male, graphic-novels-and-manga, fantasy, 20xx-sw-comics, read-2019","author-male (#951), graphic-novels-and-manga (#131), fantasy (#595), 20xx-sw-comics (#7), read-2019 (#43)",read,"<b><u>Story</u></b><br/>It seems like things are moving towards an ending, but at this point I'm getting murky on what all the factions are and who half the newer characters are. The last two chapters were pretty interesting, I'm just unclear on some of the details. I'm hoping revisting this with the anime will clear things up.<br/><br/><b><u>Artwork</u></b><br/>I'm kind of frustrated at the artwork again. I find it hard to tell whose who half the time. The action scenes still aren't great either. At this point I'm looking forward to seeing this stuff animated.",,,1,,,0,,,,,
18691177,"Black Science #1 (Black Science, #1)",Rick Remender,"Remender, Rick","Matteo Scalera, Dean White","=""""","=""""",0,3.90,Image Comics,Paperback,40,2013,2014,,2014/03/04,"to-read, graphic-novels-and-manga, author-male","to-read (#211), graphic-novels-and-manga (#28), author-male (#483)",to-read,,,,0,,,0,,,,,
